Device:	GeForce GTX 650 Ti
Matrix Order: 16

Single precision
Multiplications	shortest(ns)	average(ns)
48	1427232	1441500
49	1565536	1588825
50	1573440	1619773
51	1585344	1656666
52	1587360	1689619
53	1655360	1714361
54	1665312	1739162
55	1674144	1763434
56	1675360	1778719
57	1767200	1785828
58	1772128	1789284
59	1773600	1791916
60	1779744	1796350
61	1917920	1940435
62	1930944	1976171
63	1936512	2011572
64	1943616	2041333
65	2010368	2069023
66	2019328	2087835
67	2020896	2112314
68	2028800	2132938
69	2118336	2141246
70	2122080	2146383
71	2129440	2147031
72	2130240	2150123
73	2265152	2293145
74	2278144	2333854
75	2288544	2368742
76	2297568	2396908
77	2361344	2423232
78	2368224	2444513
79	2375232	2465240
80	2379360	2482577
81	2467520	2493174
82	2475200	2497563
83	2482656	2501350
84	2484800	2506234
85	2613408	2643779
86	2630944	2687976
87	2640704	2724171
88	2650080	2748295
89	2707008	2774187
90	2719232	2794919
91	2719072	2819427
92	2733024	2835614
93	2820704	2847480
94	2825024	2849962
95	2828704	2855488
96	2837440	2858151
97	2960448	2995207
98	2979776	3044318
99	2989952	3077314
100	3003936	3100120
